Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.43,84.86,86.64,82.53,79.64,79.95,74.39,70.49,64.93,63.11,65.08,68.55,65.49,65.91,66.26,63.79,61.5,70.77,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,4.13,4.45,4.88,9.17,8.89,11.26,8.57,6.77,8.9,10.09,9.78,10.92,14.76,12.95,14.02,12.68,13.22,11.66,10.84,,,,,,,,,,,,,,,,,,,,,,,,32.39,43.56,34,27.4,26.47,17.82,17.99,14.71,10.02,6.11,5.52
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,35.72,38.55,32.59,33.02,33.87,38.91,30.26,68.79,53.9,85.36,,82.72,68.49,56.72,86.3,89.63,75.39,68.29,68.43,70.14,86.02,79.84,76.4,78.1,55.06,62.41,64.98,60.1
Albania,,,,,,,,,,,,,,,,,,,,,23.12,22.98,19.38,18.2,17.41,16.24,15.06,15.47,16.38,17.94,14.87,7.22,11.49,15.42,11.35,12.48,12.32,10.47,10.76,17.29,19.14,20.52,20.42,20.62,21.54,22.27,25.09,28.78,29.51,28.41,32.43,33.8,31.3
Arab World,,,,,,,,,36.76,37.57,39.44,40.41,43.85,61.16,50.23,52.19,45.51,43.4,39.2,44.58,50.01,49.63,41.35,35.94,33.81,30.93,25.99,29.03,29.66,31.36,34.99,31.62,33.64,31.93,32.4,34.6,36.13,35.73,29.3,32.78,41.07,40.18,40.49,44.52,48.36,52.7,54.16,54.37,57.71,48.04,50.04,55.88,55.91
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.16,49.5,55.92,63.57,67.59,68.63,72.38,78.87,79.26,78.38,90.32,95.15
Argentina,7.6,5.99,4.69,7.89,5.56,6.23,6.65,7.5,6.48,6.4,5.6,6.01,7.2,7.61,6.9,5.82,9.18,9.62,8.61,6.51,5.06,6.92,9.09,9.15,7.59,11.74,8.16,7.87,9.53,13.06,10.36,7.68,6.6,6.91,7.53,9.68,10.43,10.56,10.42,9.83,10.99,11.58,28.38,25.93,25.71,25.07,24.76,24.63,24.48,21.35,21.71,21.82,19.71
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40.75,39.82,47.22,39.33,23.93,23.24,20.27,19,20.76,23.38,25.47,29.36,32.15,29.73,28.81,23.36,19.19,15.05,15.47,20.83,23.76,25.08
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,47.7,61.6,81.79,67.3,73.22,67.82,61.35,74.74,75.14,84.11,79.6,78.74,81,88.95,90.08,96.11,96.22,58.8,85.3,75.67,76.45,75.14,72.54,62.9,60.32,55.79,57.59,59,54.42,48.03,44.86,46.17,44.61,45.1,49.04,48.72
Australia,12.97,12.38,13.92,12.98,14.91,13.2,12.91,12.86,12.28,11.93,12.96,12.64,12.81,14.13,13.13,14.26,13.51,14,13.61,14.29,16.42,14.89,13.52,13.57,13.55,15.23,14.97,15.44,15.9,15.07,15.12,16.05,16.67,17.55,17.97,17.86,18.87,19.11,19.58,18.34,19.42,22.11,20.66,18.91,16.99,18.08,19.63,19.93,19.83,22.56,19.53,21.14,21.26
Austria,23.25,23.01,23.42,23.43,23.4,23.77,23.71,23.7,24.31,26.85,28.46,28.08,27.98,27.96,30.24,29.19,29.87,29.04,30.25,32.08,32.92,34.28,32.97,31.66,34.02,36.28,33.24,32.63,34.35,36.37,37.08,35.93,34.44,32.69,33.41,34.83,35.49,39.25,40.89,42.05,46.21,48.08,48.68,48.24,51.48,53.84,56.36,58.9,59.27,50.05,54.39,57.3,57.2
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.86,45.65,86.2,57.43,24.72,27.9,29.52,29.02,22.7,27.98,39.04,40.92,42.77,42.01,48.79,62.94,66.51,68.13,65.78,51.64,54.3,56.43,53.71
Burundi,12.5,12.93,13.11,7.52,14.09,10.35,10.78,10.8,10.3,9.66,10.69,8.44,11.73,11.02,9.75,8.28,13.73,17.6,11.71,14.16,8.81,9.14,10.21,9.05,11.5,11.03,11.72,9.74,12.59,9.75,7.87,9.92,8.75,9.38,10.27,12.93,5.82,9.84,8,7.58,6.32,5.18,4.69,6.38,6.95,8.2,7.28,7.26,9.49,6.8,8.92,9.35,8.95
Belgium,37.8,39.01,40.57,41.71,42.5,41.98,43.67,42.69,44.87,48.8,48.88,47.58,47.99,52.22,57.51,49.92,52.79,51.65,49.75,54.28,54.49,58.78,63.17,65.66,70.03,67.9,62.28,60.74,64.59,69.11,66.99,65.48,63.94,61,63.52,65.36,65.62,69.79,69.7,69.96,78.14,77.85,76.69,73.93,75.94,78.68,80.76,82.55,84.43,73.69,79.82,84.98,86.13
Benin,6.12,4.58,3.52,3.82,5.14,7.27,6.85,7.67,9.33,11.77,15.18,17.79,14.38,15.66,14.32,14.53,12.99,16.18,16.53,17.52,15.82,15.93,17.77,13.76,19.58,23.65,16.68,15.27,13.8,13.5,19.18,21,23.24,22.46,28.33,27.37,26.5,27.18,27.09,29.06,25.44,22.35,22.22,20.98,20.03,21.57,18.48,19.54,19.78,15.78,15.11,14.98,
Burkina Faso,4.86,5.43,5.53,5.58,2.8,4.65,5.05,4.93,6.2,5.82,5.46,5.51,6.4,6.31,8.32,7.35,8.21,7.96,7.47,8.25,8.95,9.28,8.2,7.88,10.96,9.92,8.99,11.36,11,8.75,10.97,10.45,8.85,8.95,14.2,14.14,10.56,10.81,12.81,9.52,9.08,9.24,9.18,8.71,11.33,9.74,11.35,10.57,9.88,12.61,17.05,21.14,27.49
Bangladesh,10,10.78,10.75,9.98,10.03,9.66,10.28,9.31,8.33,8.15,8.31,6.29,5.67,6.54,3.7,2.9,4.75,7.04,5.56,6.11,5.49,5.27,5.21,5.74,3.28,5.55,5.35,5.17,5.63,5.75,6.12,6.66,7.59,9.02,9,10.86,11.08,11.99,13.33,13.19,13.98,15.38,14.28,14.21,15.46,16.58,18.97,19.78,20.34,19.43,18.41,22.9,23.17
